cod_ciudad,desc_ciudad,cod_departamento,cod_pais
169000000000,Sin Informacion,000,169
169005000000,Sin Informacion,005,169
169008000000,Sin Informacion,008,169
169011000000,Sin Informacion,011,169
169013000000,Sin Informacion,013,169
169015000000,Sin Informacion,015,169
169017000000,Sin Informacion,017,169
169018000000,Sin Informacion,018,169
169019000000,Sin Informacion,019,169
169020000000,Sin Informacion,020,169
169023000000,Sin Informacion,023,169
169025000000,Sin Informacion,025,169
169027000000,Sin Informacion,027,169
169041000000,Sin Informacion,041,169
169044000000,Sin Informacion,044,169
169047000000,Sin Informacion,047,169
169050000000,Sin Informacion,050,169
169052000000,Sin Informacion,052,169
169054000000,Sin Informacion,054,169
169063000000,Sin Informacion,063,169
169066000000,Sin Informacion,066,169
169068000000,Sin Informacion,068,169
169070000000,Sin Informacion,070,169
169073000000,Sin Informacion,073,169
169076000000,Sin Informacion,076,169
169081000000,Sin Informacion,081,169
169085000000,Sin Informacion,085,169
169086000000,Sin Informacion,086,169
169088000000,Sin Informacion,088,169
169091000000,Sin Informacion,091,169
169094000000,Sin Informacion,094,169
169095000000,Sin Informacion,095,169
169097000000,Sin Informacion,097,169
169099000000,Sin Informacion,099,169
169005001000,Medellin,005,169
169005001001,Palmitas,005,169
169005001002,San Antonio De Prado,005,169
169005001003,San Cristobal San Cristobal,005,169
169005001004,Santa Elena,005,169
169005001005,Pedregal,005,169
169005001007,San Javier,005,169
169005001010,Aguas Frias,005,169
169005001011,Corazon,005,169
169005002000,Abejorral,005,169
169005002001,Chagualal,005,169
169005002002,Pantanillo,005,169
169005002003,Purima,005,169
169005002004,Naranjal,005,169
169005002005,Guayabal,005,169
169005002006,Purnia,005,169
169005002007,Portugal,005,169
169005002010,El Cairo,005,169
169005002011,El Erizo,005,169
169005002012,Guaico Gibado,005,169
169005004000,Abriaqui,005,169
169005004001,Corcovado,005,169
169005004002,La Antigua,005,169
169005008000,Santa Fe De Antioquia,005,169
169005009000,San Cristobal,005,169
169005010000,Buenos Aires,005,169
169005021000,Alejandria,005,169
169005021001,San Jose,005,169
169005030000,Amaga,005,169
169005030001,Camiloce Restrepo,005,169
169005030002,El Cedro,005,169
169005030003,La Clarita,005,169
169005030004,La Ferreira,005,169
169005030005,La Guali,005,169
169005030006,Piedecuesta,005,169
169005030007,Los Alvarez,005,169
169005030008,Dos Peñas,005,169
169005030009,Mani De Los Mangos,005,169
169005030010,Nicanor Restrepo,005,169
169005031000,Amalfi,005,169
169005031004,Portachuelo,005,169
169005031005,Arenas Blancas,005,169
169005031006,El Zacatin,005,169
169005031007,La Guayana,005,169
169005031008,Barrio Obrero,005,169
169005031009,El Tigre,005,169
169005031010,La Cancana,005,169
169005034000,Andes,005,169
169005034001,Buenos Aires,005,169
169005034003,San Jose,005,169
169005034004,San Pedro,005,169
169005034005,Santa Barbara,005,169
169005034006,Santa Rita,005,169
169005034007,Taparto,005,169
169005034008,La Cedrona,005,169
169005034009,Quebrada Arriba,005,169
169005034010,La Soledad,005,169
169005034011,Valle Umbria,005,169
169005034012,Santa Ines,005,169
169005036000,Angelopolis,005,169
169005036001,Estacion Angelopolis,005,169
169005036003,Santa Ana,005,169
169005036004,San Isidro,005,169
169005036005,El Nudillo,005,169
169005036006,Santa Rita,005,169
169005036007,La Clara,005,169
169005038000,Angostura,005,169
169005038001,El Carmelo,005,169
169005038002,La Quinta,005,169
169005038003,Pajarito Arriba,005,169
169005038004,El Socorro,005,169
169005038005,Pajarito Abajo,005,169
169005038006,Canoas,005,169
169005038007,La Montañita,005,169
169005040000,Anori,005,169
169005040002,Liberia,005,169
169005040003,Montefrio,005,169
169005040004,Santo Domingo,005,169
169005040005,Cristalinas,005,169
169005040006,Las Nieves,005,169
169005040007,Madre Seca,005,169
169005042000,Santafe De Antioquia,005,169
169005042001,Cativo,005,169
169005042002,Guasabra,005,169
169005042003,Las Azules,005,169
169005042004,Tonusco Arriba,005,169
169005042005,Llano De Brisas,005,169
169005042006,El Pescado,005,169
169005042007,Sabanas,005,169
169005044000,Anza,005,169
169005044001,Guintar,005,169
169005044002,La Cholina,005,169
169005044003,Los Llanos,005,169
169005044004,La Cueva,005,169
169005044005,La Cejita,005,169
169005044006,La Higuina,005,169
169005045000,Apartado,005,169
169005045001,San Jose,005,169
169005045002,Churido,005,169
169005045003,Zungo Carretera,005,169
169005045004,Pueblo Quemado,005,169
169005045006,Puerto Caribe,005,169
169005045007,Los Naranjales,005,169
169005045008,Bijagual,005,169
169005045009,El Reposo,005,169
169005051000,Arboletes,005,169
169005051001,Buenos Aires,005,169
169005051003,El Carmelo,005,169
169005051005,Las Naranjitas,005,169
169005051007,Siete Vueltas,005,169
169005051008,El Yeso,005,169
169005051009,La Trinidad,005,169
169005051010,Las Platas,005,169
169005051011,La Candelaria,005,169
169005051013,El Yeso,005,169
169005051014,El Guadual,005,169
169005055000,Argelia,005,169
169005055001,La Plata,005,169
169005055002,Guadualito,005,169
169005055003,El Oro,005,169
169005055004,El Plan,005,169
169005055005,Mesones,005,169
169005055006,La Mina,005,169
169005055007,El Pital,005,169
169005055008,El Rosario,005,169
169005055009,La Margarita,005,169
169005059000,Armenia,005,169
169005059001,La Herradura,005,169
169005059002,La Loma,005,169
169005059003,El Socorro,005,169
169005059004,Mojones,005,169
169005079000,Barbosa,005,169
169005079001,Hatillo,005,169
169005079002,Graciano,005,169
169005079003,Las Peñas,005,169
169005079005,Platanito,005,169
169005079006,El Tablazo,005,169
169005079007,El Verde,005,169
169005079008,Izasa,005,169
169005079009,Tablazo Popalito,005,169
169005079010,El Guayabo,005,169
169005079011,Las Victorias,005,169
169005079013,Aguas Claras,005,169
169005079014,Popalito,005,169
169005079015,Filoverde,005,169
169005079016,Yarumito,005,169
169005086000,Belmira,005,169
169005086001,Labores,005,169
169005086002,Quebraditas,005,169
169005086003,Rio Arriba,005,169
169005086004,Las Playas,005,169
169005088000,Bello,005,169
169005088001,Barrio Paris,005,169
169005088003,Zamora Acevedo,005,169
169005088004,El Paraiso,005,169
169005088006,Guasimalito,005,169
169005088007,Tierradentro,005,169
169005088008,Potrerito,005,169
169005088010,Santa Rita,005,169
169005088011,La Camila,005,169
169005088012,Zarzal,005,169
169005088013,San Felix,005,169
169005088014,Buenos Aires,005,169
169005088015,Niquia,005,169
169005088016,Barrio Nuevo,005,169
169005088017,Bellavista,005,169
169005088018,Central,005,169
169005091000,Betania,005,169
169005091002,La Libia,005,169
169005093000,Betulia,005,169
169005093001,Altamira,005,169
169005093002,Cangrejo,005,169
169005093003,Luciano Restrepo,005,169
169005093004,Yerbal,005,169
169005093005,Saladitos,005,169
169005094000,Altamira,005,169
169005101000,Ciudad Bolivar,005,169
169005101001,Alfonso Lopez,005,169
169005101002,Farallones,005,169
169005101003,El Manzanillo,005,169
169005101006,San Gregorio,005,169
169005101007,La Linda,005,169
169005101008,Villa Alegria,005,169
169005107000,Briceño,005,169
169005107001,Berlin,005,169
169005107002,El Roblal,005,169
169005107003,Las Auras,005,169
169005113000,Buritica,005,169
169005113001,El Naranjo,005,169
169005113002,Guarco,005,169
169005113003,Tabacal,005,169
169005113004,Urarco,005,169
169005113005,La Angelina,005,169
169005113007,Manglar,005,169
169005120000,Caceres,005,169
169005120002,El Jardin,005,169
169005120003,Guarumo,005,169
169005120005,El Tigre,005,169
169005120006,Puerto Belgica,005,169
169005120010,Piamonte,005,169
169005120011,Nueva Esperanza,005,169
169005120012,Rio Man,005,169
169005125000,Caicedo,005,169
169005125001,Asesi,005,169
169005125002,La Salazar,005,169
169005129000,Caldas,005,169
169005129001,El Caño,005,169
169005129002,La Raya,005,169
169005129003,Matadero,005,169
169005129004,La Miel,005,169
169005129005,La Corrala,005,169
169005129006,Primavera,005,169
169005134000,Campamento,005,169
169005134001,La Chiquita,005,169
169005134002,La Solita,005,169
169005134003,Llanadas,005,169
169005134005,Morropelon,005,169
169005134008,Los Chorros,005,169
169005138000,Cañasgordas,005,169
169005138001,Buenos Aires,005,169
169005138002,Cestillal,005,169
169005138003,Juntas De Uramita,005,169
169005138005,San Pascual,005,169
169005138006,Versalles,005,169
169005138007,La Balsa,005,169
169005138008,El Madero,005,169
169005142000,Caracoli,005,169
169005142001,Sardinas,005,169
169005142002,Cascaron,005,169
169005142003,El Bagre,005,169
169005142004,Las Aguilas,005,169
169005142005,La Fontana,005,169
169005142006,Santa Rosa,005,169
169005145000,Caramanta,005,169
169005145001,Alegrias,005,169
169005145002,Sucre,005,169
169005145003,Barro Blanco,005,169
169005145004,Chirapoto,005,169
169005147000,Carepa,005,169
169005147001,Bijagual,005,169
169005147002,Campamento,005,169
169005147003,Piedras Blancas,005,169
169005147004,Zumgo Embarcadero,005,169
169005147005,Zumgo Pueblo Nuevo,005,169
169005148000,El Carmen De Viboral,005,169
169005148001,Santa Ines,005,169
169005148002,Santa Rita,005,169
169005148003,Aguas Claras,005,169
169005148004,La Maria,005,169
169005148005,La Chapa,005,169
169005148006,Campo Alegre,005,169
169005148007,La Esperanza,005,169
169005148008,La Madera,005,169
169005148009,Canada,005,169
169005150000,Carolina,005,169
169005150001,Guanacas,005,169
169005154000,Caucasia,005,169
169005154003,Cuturu,005,169
169005154004,Chontaduro,005,169
169005154006,Margento,005,169
169005154007,Puerto Colombia,005,169
169005154008,Palanca,005,169
169005154009,Palomar,005,169
169005154010,Pueblo Nuevo,005,169
169005154011,Perto Gloria,005,169
169005154012,Santa Rosita,005,169
169005154013,Caracoli,005,169
169005154014,Rio Viejo,005,169
169005154015,Puerto Gaitan,005,169
169005154016,El Sabalo,005,169
169005154017,Los Medios,005,169
169005154018,El Tono,005,169
169005154019,El Gutinajo,005,169
169005154020,Puerto Triana,005,169
169005154022,La Ilusion,005,169
169005154023,Puerto Gloria,005,169
169005172000,Chigorodo,005,169
169005172003,Barranquillita,005,169
169005190000,Cisneros,005,169
169005190002,Fatima,005,169
169005190003,Algarrobo,005,169
169005190004,El Limon,005,169
169005197000,Cocorna,005,169
169005197001,Agualinda,005,169
169005197004,La Placita,005,169
169005197005,La Piñuela,005,169
169005197006,Farallones,005,169
169005197007,Las Cruces,005,169
169005197008,La Honda,005,169
169005197009,La Primavera,005,169
169005197010,La Florida,005,169
169005197011,La Granja,005,169
169005197012,Pailania,005,169
169005206000,Concepcion,005,169
169005209000,Concordia,005,169
169005209001,El Socorro,005,169
169005209002,Morelia,005,169
169005209003,Moritos,005,169
169005209004,San Francisco,005,169
169005209005,Las Animas,005,169
169005209006,El Golpe,005,169
169005209007,Salazar,005,169
169005212000,Copacabana,005,169
169005212001,Barrio De Maria,005,169
169005212002,Villanueva,005,169
169005212003,Peñolcito,005,169
169005212004,Quebrada Arriba,005,169
169005212005,El Salado,005,169
169005212006,Sabaneta,005,169
169005212007,Zarzal,005,169
169005212008,El Cabuyal,005,169
169005212009,Canoas,005,169
169005212010,El Naval,005,169
169005212011,Zarzal,005,169
169005212012,El Tablazo,005,169
169005212013,La Lomita,005,169
169005212014,El Alvarad0,005,169
169005212015,El Amor,005,169
169005212016,Ciudad Machado,005,169
169005234000,Dabeiba,005,169
169005234001,Armenia,005,169
169005234003,Galilea,005,169
169005234004,Uramagrande,005,169
169005234007,Carra,005,169
169005234008,Armenia,005,169
169005234009,Llano Grande,005,169
169005234010,Las Cruces De Urama,005,169
169005234011,Arenera,005,169
169005234012,Chimiando,005,169
