cod_sucursal,desc_sucursal,cod_pais_region_zona,cod_ciudad
1, Buenavista Ii                          ,1690423,169008001000
2,20 De Julio                             ,1690610,169011001000
3,30 De Agosto                            ,1690330,169066001000
4,3m                                      ,1690655,169011001000
5,Abrego                                  ,1690217,169054003000
6,Acacias                                 ,1690222,169050006000
7,Acopi Cali                              ,1690327,169076001000
8,Aerocivil Rionegro                      ,1690155,169005615000
9,Aeropuerto El Dorado                    ,1690613,169011001000
10,Aeropuerto Olaya                        ,1690104,169005001000
11,Aeropuerto Rafael Nunez                 ,1690424,169013001000
12,Aeropuerto Rionegro                     ,1690106,169005615000
13,Aguachica                               ,1690268,169020011000
14,Aguadas                                 ,1690329,169017013000
15,Aguazul                                 ,1690221,169085010000
16,Aipe                                    ,1690219,169041016000
17,Alamedas Del Sinu                       ,1690425,169023001000
18,Albania                                 ,1690426,169044035000
19,Alcala                                  ,1690614,169011001000
20,Alcaldia Armenia                        ,1690333,169063001000
21,Alcaldia Manizales                      ,1690359,169017001000
22,Alcaravan                               ,1690221,169085001000
23,Alkosto Pasto                           ,1690331,169052001000
24,Almacentro                              ,1690102,169005001000
25,Almacentro Centro Comercial             ,1690102,169005001000
26,Alpujarra                               ,1690101,169005001000
27,Altavista Usme                          ,1690610,169011001000
28,Alto Prado                              ,1690423,169008001000
29,Amaga                                   ,1690172,169005030000
30,Ambalema                                ,1690218,169073030000
31,America Plaza                           ,1690104,169005001000
32,Anapoima                                ,1690665,169025035000
33,Andes                                   ,1690172,169005034000
34,Anserma                                 ,1690329,169017042000
35,Antiguo Country                         ,1690612,169011001000
36,Apartado                                ,1690107,169005045000
37,Arauca                                  ,1690217,169081001000
38,Area Andina                             ,1690655,169011001000
39,Arjona                                  ,1690424,169013052000
40,Armenia Centro                          ,1690330,169063001000
41,Armenia Norte                           ,1690330,169063001000
42,Asesoria Y Venta Barranquilla           ,1690423,169008001000
43,Asesoria Y Venta Belen                  ,1690170,169005001000
44,Asesoria Y Venta Cali                   ,1690328,169076001000
45,Asesoria Y Venta Cartagena              ,1690424,169013001000
46,Asesoria Y Venta Envigado               ,1690164,169005266000
47,Asesoria Y Venta Estadio                ,1690164,169005001000
48,Asesoria Y Venta Itagui                 ,1690105,169005360000
49,Asesoria Y Venta La America             ,1690164,169005001000
50,Asesoria Y Venta La Playa               ,1690164,169005001000
51,Asesoria Y Venta Laureles               ,1690164,169005001000
52,Asesoria Y Venta Poblado                ,1690164,169005001000
53,Asesoria Y Venta Rionegro               ,1690106,169005615000
54,Asesoria Y Venta Unicentro Medellin     ,1690164,169005001000
55,Astrocentro                             ,1690327,169076001000
56,Autobanco Conquistadores                ,1690101,169005001000
57,Autoconavi Avenida Cero                 ,1690217,169054001000
58,Autogermana                             ,1690655,169011001000
59,Autonal                                 ,1690655,169011001000
60,Autopista 184                           ,1690614,169011001000
61,Autopista 98                            ,1690612,169011001000
62,Autoservicios Oviedo                    ,1690103,169005001000
63,Autoservicios San Diego                 ,1690102,169005001000
64,Av. Industriales                        ,1690120,169005001000
65,Avenida 127                             ,1690614,169011001000
66,Avenida 19                              ,1690612,169011001000
67,Avenida 82                              ,1690612,169011001000
68,Avenida Bolivariana                     ,1690104,169005001000
69,Avenida Cañas Gordas                    ,1690327,169076001000
70,Avenida Caracas                         ,1690610,169011001000
71,Avenida Cero                            ,1690217,169054001000
72,Avenida Cero                            ,1690217,169054001000
73,Avenida Chile                           ,1690612,169011001000
74,Avenida Circunvalar                     ,1690327,169076001000
75,Avenida Colombia                        ,1690102,169005001000
76,Avenida El Poblado                      ,1690103,169005001000
77,Avenida Junin                           ,1690101,169005001000
78,Avenida Kennedy                         ,1690469,169008001000
79,Avenida Las Americas                    ,1690608,169011001000
80,Avenida Las Vegas                       ,1690103,169005266000
81,Avenida Libertador B/manga              ,1690216,169068001000
82,Avenida Nutibara                        ,1690104,169005001000
83,Avenida Pepe Sierra                     ,1690611,169011001000
84,Avenida Roosevelt                       ,1690327,169076001000
85,Avenida Santander                       ,1690329,169017001000
86,Avenida Sexta Bogota                    ,1690608,169011001000
87,Avenida Suba                            ,1690614,169011001000
88,Avenida Suba 106                        ,1690614,169011001000
89,Ayapel                                  ,1690425,169023068000
90,Banca Colombia Avenida Cañas Gordas     ,1690327,169076001000
91,Banca Colombia Avenida Chile            ,1690667,169011001000
92,Banca Colombia Barranquilla             ,1690423,169008001000
93,Banca Colombia Bucaramanga              ,1690216,169068001000
94,Banca Colombia Camino Real              ,1690164,169005001000
95,Banca Colombia Cartagena                ,1690424,169013001000
96,Banca Colombia Diez                     ,1690164,169005001000
97,Banca Colombia Granada Cali             ,1690327,169076001000
98,Banca Colombia La Cabrera               ,1690667,169011001000
99,Banca Colombia Manizales                ,1690329,169017001000
100,Banca Colombia Museo Nacional           ,1690667,169011001000
101,Banca Colombia Niza                     ,1690667,169011001000
102,Banca Colombia Oviedo                   ,1690164,169005001000
103,Banca Colombia Parque Sura              ,1690164,169005001000
104,Banca Colombia Pereira                  ,1690330,169066001000
105,Banca Colombia Poblado                  ,1690164,169005001000
106,Banca Colombia Reserva Del Chico        ,1690667,169011001000
107,Banca Colombia Rosales                  ,1690667,169011001000
108,Banca Colombia Salitre                  ,1690667,169011001000
109,Banca Colombia San Fernando Plaza       ,1690164,169005001000
110,Banca Colombia Santa Paula              ,1690667,169011001000
111,Banca Colombia Usaquen                  ,1690667,169011001000
112,Banca Digital                           ,1690920,169005001000
113,Bancolombia Universidad De La Sabana    ,1690615,169025175000
114,Bancolombia Universidad Eafit           ,1690163,169005001000
115,Bancolombia Universidad Javeriana       ,1690608,169011001000
116,Bancolombia Universidad Jorge Tadeo Loza,1690655,169011001000
117,Bancolombia Universidad Pontificia Boliv,1690155,169005001000
118,Baranoa                                 ,1690469,169008078000
119,Barbosa                                 ,1690107,169005079000
120,Barbosa Santander                       ,1690268,169068077000
121,Barrancabermeja                         ,1690268,169068081000
122,Barrancas Guajira                       ,1690426,169044078000
123,Barranquilla                            ,1690469,169008001000
124,Barrio 7 De Agosto                      ,1690608,169011001000
125,Barrio Alqueria                         ,1690610,169011001000
126,Barrio Carvajal                         ,1690609,169011001000
127,Barrio Cuba                             ,1690330,169066001000
128,Barrio Restrepo                         ,1690610,169011001000
129,Barrio Ricaurte                         ,1690608,169011001000
130,Barrio Santa Lucia                      ,1690610,169011001000
131,Barrio Santander                        ,1690609,169011001000
132,Barrio Triste                           ,1690102,169005001000
133,Barrios Unidos                          ,1690608,169011001000
134,Bavaria Armenia                         ,1690355,169063001000
135,Bavaria Bucaramanga                     ,1690255,169068001000
136,Bavaria Cali                            ,1690355,169076001000
137,Bavaria Cartagena                       ,1690455,169013001000
138,Bavaria Cucuta                          ,1690255,169054001000
139,Bavaria Duitama                         ,1690255,169015806000
140,Bavaria Girardot                        ,1690255,169025307000
141,Bavaria Leona                           ,1690655,169025817000
142,Bavaria Neiva                           ,1690255,169041001000
